gene,symbol,ecocyc_id,start,end,strand
b0001,thrL,EG11277,190,255,+
b0002,thrA,EG10998,337,2799,+
b0003,thrB,EG10999,2801,3733,+
b0004,thrC,EG11000,3734,5020,+
b0005,yaaX,G6081,5234,5530,+
b0006,yaaA,EG10011,5683,6459,-
b0007,yaaJ,EG11555,6529,7959,-
b0008,talB,EG11556,8238,9191,+
b0009,mogA,EG11511,9306,9893,+
b0010,satP,EG11512,9928,10494,-
b0011,yaaW,G6082,10643,11356,-
b0012,mbiA,EG11509,10830,11315,+
b0013,yaaI,G8202,11382,11786,-
b0014,dnaK,EG10241,12163,14079,+
b0015,dnaJ,EG10240,14168,15298,+
b0016,insL1,G6083,15445,16557,+
b0018,mokC,EG10373,16751,16960,-
b4412,hokC,G0-9563,16751,16903,-
b4413,sokC,G0-9581,16952,17010,+
b0019,nhaA,EG10652,17489,18655,+
b0020,nhaR,EG11078,18715,19620,+
b0021,insB1,G6085,19811,20314,-
b0022,insA1,G6086,20233,20508,-
b0023,rpsT,EG10919,20815,21078,-
b0024,yaaY,G6087,21181,21399,+
b0025,ribF,EG11079,21407,22348,+
b0026,ileS,EG10492,22391,25207,+
b0027,lspA,EG10548,25207,25701,+
b0028,fkpB,EG11080,25826,26275,+
b0029,ispH,EG11081,26277,27227,+
b0030,rihC,EG11082,27293,28207,+
b0031,dapB,EG10206,28374,29195,+
b0032,carA,EG10134,29651,30799,+
b0033,carB,EG10135,30817,34038,+
b0034,caiF,G6088,34300,34695,+
b0035,caiE,EG12608,34781,35371,-
b0036,caiD,EG11557,35377,36162,-
b0037,caiC,EG11558,36271,37824,-
b0038,caiB,EG11559,37898,39115,-
b0039,caiA,EG11560,39244,40386,-
b0040,caiT,EG11561,40417,41931,-
b0041,fixA,EG11562,42403,43173,+
b0042,fixB,EG11563,43188,44129,+
b0043,fixC,EG11564,44180,45466,+
b0044,fixX,EG11565,45463,45750,+
b0045,yaaU,EG11566,45807,47138,+
b0046,kefF,EG11568,47246,47776,+
b0047,kefC,EG10521,47769,49631,+
b0048,folA,EG10326,49823,50302,+
b0049,apaH,EG10048,50380,51222,-
b0050,apaG,EG10047,51229,51606,-
b0051,rsmA,EG10523,51609,52430,-
b0052,pdxA,EG10691,52427,53416,-
b0053,surA,EG10985,53416,54702,-
b0054,lptD,EG11569,54755,57109,-
b0055,djlA,EG11570,57364,58179,+
b0056,yabP,EG12610,58474,59124,+
b0057,yabQ,EG12611,59121,59279,+
b0058,rluA,EG12609,59687,60346,-
b0059,rapA,EG11083,60358,63264,-
b0060,polB,EG10747,63429,65780,-
b0061,araD,EG10055,65855,66550,-
b0062,araA,EG10052,66835,68337,-
b0063,araB,EG10053,68348,70048,-
b0064,araC,EG10054,70387,71265,+
b0065,yabI,EG11571,71351,72115,+
b0066,thiQ,EG11572,72229,72927,-
b0067,thiP,EG11573,72911,74521,-
b0068,thiB,EG11574,74497,75480,-
b4762,sroA,G0-9381,75516,75608,-
b0069,sgrR,EG12094,75644,77299,-
b4577,sgrS,G0-9941,77367,77593,+
b4662,sgrT,G0-10617,77388,77519,+
b0070,setA,EG11754,77621,78799,+
b0071,leuD,EG11575,78848,79453,-
b0072,leuC,EG11576,79464,80864,-
b0073,leuB,EG11577,80867,81958,-
b0074,leuA,EG11226,81958,83529,-
b0075,leuL,EG11280,83622,83708,-
b0076,leuO,EG10531,84368,85312,+
b4726,yabR,G0-16721,85467,85511,-
b0077,ilvI,EG10500,85630,87354,+
b0078,ilvH,EG10499,87357,87848,+
b0080,cra,EG10338,88028,89032,+
b0081,mraZ,EG11084,89634,90092,+
b0082,rsmH,EG11085,90094,91035,+
b0083,ftsL,EG11086,91032,91397,+
b0084,ftsI,EG10341,91413,93179,+
b0085,murE,EG10621,93166,94653,+
b0086,murF,EG10622,94650,96008,+
b0087,mraY,EG10604,96002,97084,+
b0088,murD,EG10620,97087,98403,+
b0089,ftsW,EG10344,98403,99647,+
b0090,murG,EG10623,99644,100711,+
b0091,murC,EG10619,100765,102240,+
b0092,ddlB,EG10214,102233,103153,+
b0093,ftsQ,EG10342,103155,103985,+
b0094,ftsA,EG10339,103982,105244,+
b0095,ftsZ,EG10347,105305,106456,+
b0096,lpxC,EG10265,106557,107474,+
b0097,secM,EG11087,107705,108217,+
b0098,secA,EG10936,108279,110984,+
b0099,mutT,EG10626,111044,111433,+
b0101,yacG,EG12314,111649,111846,-
b0102,zapD,EG12313,111856,112599,-
b0103,coaE,EG12312,112599,113219,-
b4727,yacM,G0-16722,113244,113288,+
b0104,guaC,EG10422,113444,114487,+
b0106,hofC,EG11798,114522,115724,-
b0107,hofB,EG12106,115714,117099,-
b0108,ppdD,EG12107,117109,117549,-
b0109,nadC,EG11546,117752,118645,-
b0110,ampD,EG10041,118733,119284,+
b0111,ampE,EG10042,119281,120135,+
b0112,aroP,EG10084,120178,121551,-
b0113,pdhR,EG11088,122092,122856,+
b0114,aceE,EG10024,123017,125680,+
b0115,aceF,EG10025,125695,127587,+
b0116,lpd,EG10543,127912,129336,+
b0117,yacH,EG12315,129407,131260,-
b0118,acnB,EG12316,131615,134212,+
b0119,yacL,EG12605,134388,134750,+
b0120,speD,EG10962,134788,135582,-
b0121,speE,EG10963,135598,136464,-
b0122,yacC,EG11089,136570,136917,-
b0123,cueO,EG12318,137083,138633,+
b0124,gcd,EG10369,138835,141225,-
b0125,hpt,EG20098,141431,141967,+
b0126,can,EG12319,142008,142670,-
b0127,yadG,EG12320,142779,143705,+
b0128,yadH,EG12321,143702,144472,+
b0129,yadI,EG12322,144577,145017,+
b0130,yadE,EG11749,145081,146310,+
b0131,panD,EG11747,146314,146694,-
b0132,rpnC,EG11748,146968,147870,+
b0133,panC,EG11746,147944,148795,-
b0134,panB,EG11675,148807,149601,-
b0135,yadC,EG11678,149715,150953,-
b0136,yadK,EG12325,151003,151599,-
b0137,yadL,EG12326,151626,152231,-
b0138,yadM,EG12327,152243,152812,-
b0139,htrE,EG11972,152829,155426,-
b0140,yadV,EG11973,155461,156201,-
b0141,yadN,EG12328,156299,156883,-
b0142,folK,EG11374,157253,157732,-
b0143,pcnB,EG10690,157729,159126,-
b0144,gluQ,EG11362,159186,160112,-
b0145,dksA,EG10230,160149,160604,-
b0146,sfsA,EG10949,160782,161486,-
b0147,thpR,EG12330,161501,162031,-
b0148,hrpB,EG12329,162105,164534,+
b0149,mrcB,EG10605,164730,167264,+
b0150,fhuA,EG10302,167484,169727,+
b0151,fhuC,EG10304,169778,170575,+
b0152,fhuD,EG10305,170575,171465,+
b0153,fhuB,EG10303,171462,173444,+
b0154,hemL,EG10432,173602,174882,-
b4765,yadX,G0-17011,175048,175095,+
b0155,clcA,EG12331,175107,176528,+
b4728,yadW,G0-16723,176552,176617,+
b0156,erpA,EG12332,176610,176954,+
b0157,yadS,EG12333,177001,177624,-
b0158,btuF,EG12334,177662,178462,-
b0159,mtn,EG11090,178455,179153,-
b0160,dgt,EG10225,179237,180754,+
b0161,degP,EG10463,180884,182308,+
b0162,cdaR,EG12335,182463,183620,+
b0163,yaeH,EG12336,183709,184095,-
b0164,yaeI,EG12337,184257,185069,-
b0166,dapD,EG10207,185123,185947,-
b0167,glnD,EG11411,185978,188650,-
b0168,map,EG10570,188712,189506,-
b4414,tff,G0-8895,189712,189847,+
b0169,rpsB,EG10901,189874,190599,+
b0170,tsf,EG11033,190857,191708,+
b0171,pyrH,EG11539,191855,192580,+
b0172,frr,EG10335,192872,193429,+
b0173,dxr,EG12715,193521,194717,+
b0174,ispU,G6092,194903,195664,+
b0175,cdsA,EG10139,195677,196534,+
b0176,rseP,EG12436,196546,197898,+
b0177,bamA,G6093,197928,200360,+
b0178,skp,EG10455,200482,200967,+
b0179,lpxD,EG10316,200971,201996,+
b0180,fabZ,EG11284,202101,202556,+
b0181,lpxA,EG10545,202560,203348,+
b0182,lpxB,EG10546,203348,204496,+
b0183,rnhB,EG10861,204493,205089,+
b0184,dnaE,EG10238,205126,208608,+
b0185,accA,EG11647,208621,209580,+
b0186,ldcC,G6094,209679,211820,+
b0187,yaeR,G6095,211877,212266,+
b0188,tilS,G6096,212331,213629,+
b0189,rof,G6097,213678,213932,-
b4406,yaeP,G372,213925,214125,-
b0190,yaeQ,G6098,214291,214836,+
b0191,arfB,EG12354,214833,215255,+
b0192,nlpE,EG12137,215269,215979,+
b0193,yaeF,EG12138,216179,217003,-
b0194,proS,EG10770,217057,218775,-
b0195,trmO,EG11503,218887,219594,-
b0196,rcsF,EG11502,219591,219995,-
b0197,metQ,EG11504,220113,220928,-
b0198,metI,EG11737,220968,221621,-
b0199,metN,EG11621,221614,222645,-
b0200,gmhB,EG11736,222833,223408,+
b0201,rrsH,EG30090,223771,225312,+
b0202,ileV,EG30045,225381,225457,+
b0203,alaV,EG30010,225500,225575,+
b0204,rrlH,EG30083,225759,228662,+
b0205,rrfH,EG30076,228756,228875,+
b0206,aspU,EG30024,228928,229004,+
b0207,dkgB,EG11648,229167,229970,+
b0208,yafC,EG11649,229967,230881,-
b0209,yafD,EG11650,231122,231922,+
b0210,yafE,EG11651,231926,232549,+
b0211,mltD,EG10246,232597,233955,-
b0212,gloB,G6099,234027,234782,-
b0213,yafS,G6100,234816,235538,+
b0214,rnhA,EG10860,235535,236002,-
b0215,dnaQ,EG10243,236067,236798,+
b0216,aspV,EG30025,236931,237007,+
b0217,yafT,G6101,237335,238120,+
b4586,ykfM,G0-10583,238257,238736,-
b0219,yafV,G6103,239419,240189,-
b0220,ivy,G6104,240343,240816,+
b0221,fadE,G6105,240859,243303,-
b0222,gmhA,G6106,243543,244121,+
b0223,yafJ,G6107,244327,245094,+
b0224,dpaA,G6108,245065,245805,-
b0225,yafQ,G6109,245961,246239,-
b0226,dinJ,G6110,246242,246502,-
b0227,yafL,G6111,246712,247461,+
b0228,rayT,G6112,247637,248134,+
b0231,dinB,G6115,250898,251953,+
b0232,yafN,G6116,252005,252298,+
b0233,yafO,G6117,252301,252699,+
b0234,yafP,G6118,252709,253161,+
b0237,pepD,EG10695,254259,255716,-
b0238,gpt,EG10414,255977,256435,+
b0239,frsA,EG11091,256527,257771,+
b4710,insB9,G0-16637,257923,258426,-
b4709,insA9,G0-16638,258345,258620,-
b0241,phoE,EG10729,259045,260100,-
b0242,proB,EG10768,260388,261491,+
b0243,proA,EG10767,261503,262756,+
b0244,thrW,EG30104,262871,262946,+
b0245,ykfI,G6120,263328,263669,-
b0246,yafW,G6121,263690,264007,-
b4504,ykfH,G0-10432,264026,264247,-
b0247,ykfG,G6122,264256,264732,-
b0248,yafX,G6123,264748,265206,-
b0249,ykfF,G6124,265304,265543,-
b0250,ykfB,G6125,265620,266087,-
b0251,yafY,G6126,266110,266553,-
b0252,yafZ,G6127,267184,268005,-
b0253,ykfA,G6128,268097,268960,-
b0254,perR,G6129,269289,270182,-
b0256,insI1,G6131,270603,271754,+
b4690,eyeA,G0-10696,272580,272654,+
b0258,ykfC,G6133,272847,273992,+
b0259,insH1,G6134,274101,275081,-
b0260,mmuP,G6135,275325,276728,+
b0261,mmuM,G6136,276715,277647,+
b0262,afuC,EG12340,277756,278802,-
b0264,insB2,G6138,279178,279681,-
b0265,insA2,G6139,279600,279875,-
b0266,yagB,EG12339,280385,280735,-
b0267,yagA,EG12338,280829,281983,-
b0268,yagE,G6140,282278,283186,+
b0269,yagF,G6141,283201,285168,+
b0270,yagG,G6142,285395,286777,+
b0271,yagH,G6143,286789,288399,+
b0272,xynR,G6144,288404,289162,-
b0273,argF,EG10067,289301,290305,-
b4766,argL,G0-17012,290275,290370,-
b4688,ykgS,G0-16674,290510,290638,+
b0274,insB3,G6145,290649,291152,-
b0275,insA3,G6146,291071,291346,-
b0276,yagJ,G6147,291500,292231,+
b0277,yagK,G6148,292322,292948,-
b0278,yagL,G6149,293220,293918,-
b0279,yagM,G6150,293945,294799,-
b4729,ykgV,G0-16724,294918,295142,-
b0280,yagN,G6151,295139,295579,-
b0281,intF,G6152,295696,297096,-
b0282,yagP,G6153,297381,297791,-
b0283,paoD,G6154,297770,298726,-
b0284,paoC,G6155,298736,300934,-
b0285,paoB,G6156,300931,301887,-
b0286,paoA,G6157,301884,302573,-
b0287,yagU,G6158,302991,303605,+
b0288,ykgJ,G6159,303853,304182,-
b0289,ecpE,G6160,304495,305205,-
b0290,ecpD,G6161,305174,306817,-
b0291,ecpC,G6162,306807,309332,-
b0292,ecpB,G6163,309358,310026,-
b0293,ecpA,G6164,310084,310671,-
b0294,matA,G6165,310746,311336,-
b0295,ykgL,G6166,312112,312339,+
b4506,ykgO,G0-10434,312374,312514,-
b0296,ykgM,G6167,312514,312777,-
b4671,ykgR,G0-10654,313141,313242,-
b0298,insE1,G6168,315291,315590,+
b0299,insF1,G6169,315587,316453,+
b0301,rclC,G6171,317726,318319,-
b0303,rclB,G6173,318331,318567,-
b0304,rclA,G6174,318676,320001,-
b0305,rclR,G6175,320227,321081,+
b0306,ykgE,G6176,321608,322327,+
b0307,ykgF,G6177,322338,323765,+
b0308,ykgG,G6178,323758,324453,+
b0310,ykgH,G6180,324696,325364,-
b0311,betA,EG10109,325577,327247,-
b0312,betB,EG10110,327261,328733,-
b0313,betI,EG10111,328747,329334,-
b0314,betT,EG10112,329463,331496,+
b4730,yahV,G0-16725,331802,331876,+
b0315,pdeL,EG11236,332371,333459,+
b0316,yahB,G6181,333501,334433,-
b0317,yahC,G6182,334525,335022,-
b0318,yahD,G6183,335280,335885,+
b0319,yahE,G6184,335925,336788,+
b0320,yahF,G6185,336778,338325,+
b0321,yahG,G6186,338325,339743,+
b0322,yahH,G0-10550,339769,340089,+
b0323,yahI,G6188,340165,341115,+
b0324,yahJ,G6189,341125,342507,+
b0325,yahK,G6190,342884,343933,+
b0326,yahL,G6191,344176,344991,+
b0327,yahM,G6192,345404,345649,+
b0328,yahN,G6193,345666,346337,-
b0329,yahO,G6194,346484,346759,+
b0330,prpR,G6195,346857,348443,-
b0331,prpB,G6196,348682,349572,+
b0333,prpC,G6198,350012,351181,+
b0334,prpD,G6199,351215,352666,+
